dataset,assessor,target,bin_lo,bin_hi,count,frac
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.85,0.90,32,0.0099
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.90,0.95,59,0.0183
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.95,1.00,1800,0.5583
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.00,0.05,1070,0.3940
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.05,0.10,21,0.0077
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.10,0.15,14,0.0052
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.15,0.20,7,0.0026
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.20,0.25,6,0.0022
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.25,0.30,15,0.0055
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.30,0.35,7,0.0026
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.35,0.40,20,0.0074
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.40,0.45,14,0.0052
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.45,0.50,8,0.0029
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.50,0.55,0,0.0000
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.55,0.60,11,0.0041
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.60,0.65,11,0.0041
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.65,0.70,13,0.0048
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.70,0.75,10,0.0037
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.75,0.80,16,0.0059
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.80,0.85,11,0.0041
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.85,0.90,26,0.0096
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.90,0.95,25,0.0092
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.95,1.00,1411,0.5195
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.00,0.05,1967,0.8974
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.05,0.10,18,0.0082
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.10,0.15,8,0.0036
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.15,0.20,6,0.0027
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.20,0.25,7,0.0032
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.25,0.30,8,0.0036
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.30,0.35,4,0.0018
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.35,0.40,4,0.0018
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.40,0.45,5,0.0023
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.45,0.50,7,0.0032
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.50,0.55,0,0.0000
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.55,0.60,5,0.0023
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.60,0.65,3,0.0014
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.65,0.70,3,0.0014
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.70,0.75,8,0.0036
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.75,0.80,5,0.0023
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.80,0.85,7,0.0032
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.85,0.90,12,0.0055
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.90,0.95,21,0.0096
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.95,1.00,94,0.0429
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.00,0.05,1203,0.4690
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.05,0.10,30,0.0117
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.10,0.15,17,0.0066
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.15,0.20,8,0.0031
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.20,0.25,11,0.0043
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.25,0.30,10,0.0039
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.30,0.35,7,0.0027
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.35,0.40,9,0.0035
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.40,0.45,15,0.0058
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.45,0.50,11,0.0043
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.50,0.55,0,0.0000
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.55,0.60,12,0.0047
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.60,0.65,11,0.0043
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.65,0.70,8,0.0031
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.70,0.75,10,0.0039
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.75,0.80,3,0.0012
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.80,0.85,10,0.0039
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.85,0.90,18,0.0070
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.90,0.95,32,0.0125
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.95,1.00,1140,0.4444
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.00,0.05,542,0.2142
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.05,0.10,199,0.0787
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.10,0.15,132,0.0522
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.15,0.20,77,0.0304
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.20,0.25,122,0.0482
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.25,0.30,80,0.0316
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.30,0.35,84,0.0332
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.35,0.40,57,0.0225
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.40,0.45,93,0.0368
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.45,0.50,102,0.0403
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.50,0.55,46,0.0182
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.55,0.60,84,0.0332
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.60,0.65,95,0.0375
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.65,0.70,74,0.0292
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.70,0.75,114,0.0451
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.75,0.80,164,0.0648
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.80,0.85,106,0.0419
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.85,0.90,123,0.0486
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.90,0.95,136,0.0538
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.95,1.00,100,0.0395
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.00,0.05,249,0.0772
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.05,0.10,103,0.0319
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.10,0.15,59,0.0183
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.15,0.20,40,0.0124
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.20,0.25,54,0.0167
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.25,0.30,40,0.0124
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.30,0.35,46,0.0143
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.35,0.40,27,0.0084
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.40,0.45,54,0.0167
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.45,0.50,58,0.0180
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.50,0.55,26,0.0081
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.55,0.60,81,0.0251
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.60,0.65,81,0.0251
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.65,0.70,57,0.0177
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.70,0.75,126,0.0391
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.75,0.80,210,0.0651
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.80,0.85,196,0.0608
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.85,0.90,271,0.0841
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.90,0.95,456,0.1414
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.95,1.00,990,0.3071
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.00,0.05,277,0.1020
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.05,0.10,123,0.0453
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.10,0.15,86,0.0317
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.15,0.20,40,0.0147
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.20,0.25,71,0.0261
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.25,0.30,56,0.0206
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.30,0.35,53,0.0195
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.35,0.40,16,0.0059
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.40,0.45,46,0.0169
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.45,0.50,39,0.0144
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.50,0.55,29,0.0107
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.55,0.60,54,0.0199
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.60,0.65,65,0.0239
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.65,0.70,40,0.0147
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.70,0.75,88,0.0324
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.75,0.80,130,0.0479
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.80,0.85,140,0.0515
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.85,0.90,214,0.0788
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.90,0.95,320,0.1178
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.95,1.00,829,0.3052
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.00,0.05,784,0.3577
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.05,0.10,213,0.0972
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.10,0.15,131,0.0598
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.15,0.20,78,0.0356
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.20,0.25,139,0.0634
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.25,0.30,78,0.0356
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.30,0.35,82,0.0374
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.35,0.40,43,0.0196
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.40,0.45,95,0.0433
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.45,0.50,65,0.0297
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.50,0.55,44,0.0201
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.55,0.60,72,0.0328
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.60,0.65,49,0.0224
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.65,0.70,49,0.0224
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.70,0.75,75,0.0342
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.75,0.80,73,0.0333
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.80,0.85,51,0.0233
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.85,0.90,40,0.0182
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.90,0.95,23,0.0105
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,0.95,1.00,8,0.0036
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.00,0.05,394,0.1536
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.05,0.10,149,0.0581
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.10,0.15,94,0.0366
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.15,0.20,48,0.0187
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.20,0.25,90,0.0351
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.25,0.30,43,0.0168
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.30,0.35,47,0.0183
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.35,0.40,25,0.0097
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.40,0.45,66,0.0257
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.45,0.50,49,0.0191
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.50,0.55,36,0.0140
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.55,0.60,54,0.0211
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.60,0.65,64,0.0250
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.65,0.70,40,0.0156
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.70,0.75,94,0.0366
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.75,0.80,130,0.0507
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.80,0.85,114,0.0444
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.85,0.90,140,0.0546
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.90,0.95,238,0.0928
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0.95,1.00,650,0.2534
